DateTime.MST,SR-OBJ1-D_WaterTemp.deg.C,SR-OBJ1-D_DTW.m,SR-OBJ1-D_WaterLevelElev.masl,SR-OBJ1-M_WaterTemp.deg.C,SR-OBJ1-M_DTW.m,SR-OBJ1-M_WaterLevelElev.masl,SR-OBJ1-S_WaterTemp.deg.C,SR-OBJ1-S_DTW.m,SR-OBJ1-S_WaterLevelElev.masl,SR-OBJ2-D_WaterTemp.deg.C,SR-OBJ2-D_DTW.m,SR-OBJ2-D_WaterLevelElev.masl,SR-OBJ2-M_WaterTemp.deg.C,SR-OBJ2-M_DTW.m,SR-OBJ2-M_WaterLevelElev.masl,SR-OBJ2-S_WaterTemp.deg.C,SR-OBJ2-S_DTW.m,SR-OBJ2-S_WaterLevelElev.masl,SR-T.1.1.3-D_WaterTemp.deg.C,SR-T.1.1.3-D_DTW.m,SR-T.1.1.3-D_WaterLevelElev.masl,SR-T.1.1.3-S_WaterTemp.deg.C,SR-T.1.1.3-S_DTW.m,SR-T.1.1.3-S_WaterLevelElev.masl,SR-OBJ4-Piezo-140_WaterTemp.deg.C,SR-OBJ4-Piezo-140_DTW.m,SR-OBJ4-Piezo-140_WaterLevelElev.masl,SR-OBJ4-Piezo-200_WaterTemp.deg.C,SR-OBJ4-Piezo-200_DTW.m,SR-OBJ4-Piezo-200_WaterLevelElev.masl,SR-OBJ4-GBPiezo-245_WaterTemp.deg.C,SR-OBJ4-GBPiezo-245_DTW.m,SR-OBJ4-GBPiezo-245_WaterLevelElev.masl,SR-OBJ4-GBPiezo-335_WaterTemp.deg.C,SR-OBJ4-GBPiezo-335_DTW.m,SR-OBJ4-GBPiezo-335_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2020-01-01 00:00:00,1.112,0.948,2725.416,1.33,0.923,2725.423,0.784,0.545,2725.828,2.517,0.781,2725.154,3.261,0.593,2725.329,1.872,0.15,2725.765,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 01:00:00,1.112,0.951,2725.413,1.33,0.924,2725.422,0.784,0.547,2725.826,2.517,0.783,2725.152,3.261,0.593,2725.329,1.872,0.153,2725.762,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 02:00:00,1.112,0.949,2725.415,1.439,0.921,2725.425,0.784,0.544,2725.829,2.517,0.783,2725.152,3.261,0.592,2725.33,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 03:00:00,1.112,0.948,2725.416,1.33,0.919,2725.427,0.784,0.543,2725.83,2.517,0.782,2725.153,3.261,0.59,2725.332,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 04:00:00,1.112,0.948,2725.416,1.33,0.921,2725.425,0.784,0.543,2725.83,2.517,0.781,2725.154,3.261,0.59,2725.332,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 05:00:00,1.112,0.949,2725.415,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.781,2725.154,3.261,0.59,2725.332,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 06:00:00,1.112,0.949,2725.415,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.782,2725.153,3.261,0.59,2725.332,1.872,0.15,2725.765,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 07:00:00,1.112,0.948,2725.416,1.33,0.921,2725.425,0.784,0.545,2725.828,2.517,0.782,2725.153,3.261,0.59,2725.332,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 08:00:00,1.112,0.947,2725.417,1.33,0.919,2725.427,0.784,0.544,2725.829,2.517,0.782,2725.153,3.261,0.589,2725.333,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 09:00:00,1.112,0.949,2725.415,1.33,0.921,2725.425,0.784,0.545,2725.828,2.517,0.782,2725.153,3.261,0.59,2725.332,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 10:00:00,1.112,0.948,2725.416,1.33,0.919,2725.427,0.784,0.544,2725.829,2.517,0.782,2725.153,3.261,0.589,2725.333,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 11:00:00,1.112,0.947,2725.417,1.33,0.92,2725.426,0.784,0.543,2725.83,2.517,0.781,2725.154,3.261,0.588,2725.334,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 12:00:00,1.112,0.948,2725.416,1.33,0.922,2725.424,0.784,0.546,2725.827,2.517,0.78,2725.155,3.261,0.59,2725.332,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 13:00:00,1.112,0.944,2725.42,1.33,0.917,2725.429,0.784,0.542,2725.831,2.517,0.778,2725.157,3.261,0.585,2725.337,1.872,0.145,2725.77,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 14:00:00,1.112,0.95,2725.414,1.33,0.922,2725.424,0.784,0.546,2725.827,2.517,0.782,2725.153,3.261,0.592,2725.33,1.872,0.152,2725.763,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 15:00:00,1.112,0.947,2725.417,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.779,2725.156,3.261,0.587,2725.335,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 16:00:00,1.112,0.948,2725.416,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.78,2725.155,3.261,0.588,2725.334,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 17:00:00,1.112,0.948,2725.416,1.33,0.922,2725.424,0.784,0.545,2725.828,2.517,0.78,2725.155,3.261,0.589,2725.333,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 18:00:00,1.112,0.947,2725.417,1.33,0.92,2725.426,0.784,0.543,2725.83,2.517,0.778,2725.157,3.261,0.588,2725.334,1.872,0.147,2725.768,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 19:00:00,1.112,0.947,2725.417,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.778,2725.157,3.261,0.588,2725.334,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 20:00:00,1.112,0.949,2725.415,1.33,0.923,2725.423,0.784,0.544,2725.829,2.517,0.778,2725.157,3.261,0.587,2725.335,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 21:00:00,1.112,0.95,2725.414,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.779,2725.156,3.261,0.588,2725.334,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 22:00:00,1.112,0.949,2725.415,1.33,0.923,2725.423,0.784,0.545,2725.828,2.517,0.779,2725.156,3.261,0.589,2725.333,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-01 23:00:00,1.112,0.947,2725.417,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.778,2725.157,3.261,0.586,2725.336,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 00:00:00,1.112,0.947,2725.417,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.775,2725.16,3.261,0.586,2725.336,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 01:00:00,1.112,0.947,2725.417,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.777,2725.158,3.261,0.587,2725.335,1.872,0.149,2725.766,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 02:00:00,1.112,0.947,2725.417,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.776,2725.159,3.261,0.587,2725.335,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 03:00:00,1.112,0.948,2725.416,1.33,0.922,2725.424,0.784,0.545,2725.828,2.517,0.777,2725.158,3.261,0.586,2725.336,1.872,0.148,2725.767,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 04:00:00,1.112,0.945,2725.419,1.33,0.921,2725.425,0.784,0.543,2725.83,2.517,0.776,2725.159,3.261,0.586,2725.336,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 05:00:00,1.112,0.948,2725.416,1.33,0.923,2725.423,0.784,0.546,2725.827,2.517,0.778,2725.157,3.261,0.588,2725.334,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 06:00:00,1.112,0.946,2725.418,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.776,2725.159,3.261,0.588,2725.334,1.872,0.15,2725.765,-99999,-99999,-99999,1.656,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 07:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.784,0.545,2725.828,2.517,0.771,2725.164,3.261,0.586,2725.336,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 08:00:00,1.112,0.944,2725.42,1.33,0.922,2725.424,0.784,0.545,2725.828,2.517,0.768,2725.167,3.261,0.587,2725.335,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 09:00:00,1.112,0.943,2725.421,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.768,2725.167,3.261,0.586,2725.336,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 10:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.784,0.546,2725.827,2.517,0.769,2725.166,3.261,0.585,2725.337,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 11:00:00,1.112,0.944,2725.42,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.768,2725.167,3.261,0.586,2725.336,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 12:00:00,1.112,0.945,2725.419,1.33,0.921,2725.425,0.784,0.546,2725.827,2.517,0.77,2725.165,3.261,0.586,2725.336,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 13:00:00,1.112,0.946,2725.418,1.33,0.921,2725.425,0.784,0.545,2725.828,2.517,0.771,2725.164,3.261,0.585,2725.337,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 14:00:00,1.112,0.943,2725.421,1.33,0.919,2725.427,0.784,0.545,2725.828,2.517,0.77,2725.165,3.261,0.585,2725.337,1.872,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 15:00:00,1.112,0.943,2725.421,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.769,2725.166,3.261,0.585,2725.337,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 16:00:00,1.112,0.945,2725.419,1.33,0.921,2725.425,0.784,0.546,2725.827,2.517,0.77,2725.165,3.155,0.585,2725.337,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 17:00:00,1.112,0.944,2725.42,1.33,0.921,2725.425,0.784,0.546,2725.827,2.517,0.771,2725.164,3.155,0.585,2725.337,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 18:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.771,2725.164,3.155,0.585,2725.337,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 19:00:00,1.112,0.944,2725.42,1.33,0.922,2725.424,0.784,0.544,2725.829,2.517,0.77,2725.165,3.155,0.584,2725.338,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 20:00:00,1.112,0.945,2725.419,1.33,0.921,2725.425,0.784,0.547,2725.826,2.517,0.771,2725.164,3.155,0.586,2725.336,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 21:00:00,1.112,0.943,2725.421,1.33,0.921,2725.425,0.784,0.545,2725.828,2.517,0.769,2725.166,3.155,0.584,2725.338,1.872,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 22:00:00,1.112,0.945,2725.419,1.33,0.922,2725.424,0.784,0.545,2725.828,2.517,0.77,2725.165,3.155,0.584,2725.338,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-02 23:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.784,0.544,2725.829,2.517,0.77,2725.165,3.155,0.584,2725.338,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 00:00:00,1.112,0.944,2725.42,1.33,0.921,2725.425,0.674,0.544,2725.829,2.517,0.771,2725.164,3.155,0.583,2725.339,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 01:00:00,1.112,0.944,2725.42,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.771,2725.164,3.155,0.583,2725.339,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 02:00:00,1.112,0.944,2725.42,1.33,0.921,2725.425,0.784,0.544,2725.829,2.517,0.771,2725.164,3.155,0.583,2725.339,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 03:00:00,1.112,0.946,2725.418,1.33,0.921,2725.425,0.784,0.546,2725.827,2.517,0.771,2725.164,3.155,0.583,2725.339,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 04:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.674,0.544,2725.829,2.517,0.768,2725.167,3.155,0.581,2725.341,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 05:00:00,1.112,0.945,2725.419,1.33,0.92,2725.426,0.674,0.544,2725.829,2.517,0.77,2725.165,3.155,0.583,2725.339,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 06:00:00,1.112,0.946,2725.418,1.33,0.92,2725.426,0.674,0.545,2725.828,2.517,0.768,2725.167,3.155,0.581,2725.341,1.872,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 07:00:00,1.112,0.947,2725.417,1.33,0.92,2725.426,0.674,0.544,2725.829,2.517,0.768,2725.167,3.155,0.583,2725.339,1.872,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 08:00:00,1.112,0.947,2725.417,1.33,0.921,2725.425,0.674,0.545,2725.828,2.517,0.773,2725.162,3.155,0.582,2725.34,1.872,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 09:00:00,1.112,0.945,2725.419,1.33,0.918,2725.428,0.674,0.543,2725.83,2.517,0.771,2725.164,3.155,0.581,2725.341,1.872,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 10:00:00,1.112,0.947,2725.417,1.33,0.921,2725.425,0.674,0.546,2725.827,2.517,0.773,2725.162,3.155,0.582,2725.34,1.764,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 11:00:00,1.112,0.948,2725.416,1.33,0.92,2725.426,0.674,0.546,2725.827,2.517,0.772,2725.163,3.155,0.582,2725.34,1.764,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 12:00:00,1.112,0.943,2725.421,1.33,0.919,2725.427,0.674,0.543,2725.83,2.41,0.77,2725.165,3.155,0.58,2725.342,1.872,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 13:00:00,1.112,0.945,2725.419,1.33,0.921,2725.425,0.674,0.545,2725.828,2.517,0.77,2725.165,3.155,0.582,2725.34,1.764,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 14:00:00,1.112,0.944,2725.42,1.33,0.92,2725.426,0.674,0.546,2725.827,2.41,0.768,2725.167,3.155,0.581,2725.341,1.764,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 15:00:00,1.112,0.943,2725.421,1.33,0.919,2725.427,0.674,0.545,2725.828,2.41,0.766,2725.169,3.155,0.58,2725.342,1.764,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 16:00:00,1.112,0.943,2725.421,1.33,0.92,2725.426,0.674,0.547,2725.826,2.517,0.765,2725.17,3.155,0.583,2725.339,1.872,0.149,2725.766,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 17:00:00,1.112,0.94,2725.424,1.33,0.919,2725.427,0.674,0.545,2725.828,2.41,0.761,2725.174,3.155,0.58,2725.342,1.872,0.148,2725.767,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 18:00:00,1.112,0.941,2725.423,1.33,0.921,2725.425,0.674,0.546,2725.827,2.41,0.762,2725.173,3.155,0.58,2725.342,1.764,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 19:00:00,1.112,0.941,2725.423,1.33,0.921,2725.425,0.674,0.545,2725.828,2.41,0.76,2725.175,3.155,0.58,2725.342,1.872,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 20:00:00,1.112,0.94,2725.424,1.33,0.92,2725.426,0.674,0.545,2725.828,2.41,0.76,2725.175,3.155,0.58,2725.342,1.764,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 21:00:00,1.112,0.939,2725.425,1.33,0.92,2725.426,0.674,0.545,2725.828,2.41,0.76,2725.175,3.155,0.579,2725.343,1.764,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 22:00:00,1.112,0.941,2725.423,1.33,0.92,2725.426,0.674,0.544,2725.829,2.41,0.762,2725.173,3.155,0.578,2725.344,1.764,0.144,2725.771,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-03 23:00:00,1.112,0.941,2725.423,1.33,0.919,2725.427,0.674,0.544,2725.829,2.41,0.762,2725.173,3.155,0.576,2725.346,1.764,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-04 00:00:00,1.003,0.943,2725.421,1.33,0.92,2725.426,0.674,0.546,2725.827,2.41,0.764,2725.171,3.155,0.577,2725.345,1.764,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-04 01:00:00,1.112,0.94,2725.424,1.221,0.919,2725.427,0.674,0.545,2725.828,2.41,0.762,2725.173,3.155,0.576,2725.346,1.764,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-04 02:00:00,1.003,0.942,2725.422,1.221,0.921,2725.425,0.674,0.546,2725.827,2.41,0.764,2725.171,3.155,0.576,2725.346,1.764,0.147,2725.768,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-04 03:00:00,1.003,0.941,2725.423,1.221,0.92,2725.426,0.674,0.545,2725.828,2.41,0.762,2725.173,3.155,0.577,2725.345,1.764,0.145,2725.77,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-01-04 04:00:00,1.003,0.942,2725.422,1.221,0.921,2725.425,0.674,0.545,2725.828,2.41,0.762,2725.173,3.155,0.577,2725.345,1.764,0.146,2725.769,-99999,-99999,-99999,1.548,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,P,CS100
